,price.open,price.high,price.low,price.close,volume,price.adjusted,ref.date,ticker,ret.adjusted.prices,ret.closing.prices,,
787,19.35,19.41,19.15,19.299999,49500,19.03673,6/4/2018,SLP,-0.002583982,-0.002584031,1.105988787,U
788,19.35,19.85,19.25,19.75,52800,19.480591,6/5/2018,SLP,0.023316032,0.023316115,0.845422449,U
789,19.85,20.1,19.65,20.049999,40200,19.776499,6/6/2018,SLP,0.015189888,0.015189823,0.395548437,E
790,20.1,20.200001,19.25,19.75,40400,19.480591,6/7/2018,SLP,-0.014962608,-0.014962544,1.226493401,U
791,19.65,20.200001,19.26,20.1,33300,19.825819,6/8/2018,SLP,0.017721639,0.017721519,1.162693995,U
792,20.200001,20.450001,20.1,20.4,49500,20.121723,6/11/2018,SLP,0.014925184,0.014925373,1.479715048,U
793,20.450001,20.6,20.200001,20.6,33800,20.318998,6/12/2018,SLP,0.009804081,0.009803922,1.319716553,U
794,20.700001,20.700001,20.4,20.450001,33300,20.171041,6/13/2018,SLP,-0.007281707,-0.007281505,1.812551091,U
795,20.450001,21.049999,20.4,21,42900,20.713541,6/14/2018,SLP,0.026894993,0.026894815,1.145912135,U
796,20.9,21.450001,20.700001,21.299999,54800,21.009447,6/15/2018,SLP,0.014285631,0.014285667,1.087614326,U
797,21.25,22.049999,21,21.950001,71700,21.650581,6/18/2018,SLP,0.030516462,0.030516527,1.381872611,U
798,21.85,22.1,21.5,22,62700,21.6999,6/19/2018,SLP,0.002277953,0.002277859,1.53958822,U
799,22.1,22.5,22,22.4,49900,22.094444,6/20/2018,SLP,0.018181835,0.018181818,-1.330378206,D
800,22.549999,22.620001,22.15,22.25,55300,21.946489,6/21/2018,SLP,-0.00669648,-0.006696429,0,E
801,22.35,22.6,21.950001,22.5,205400,22.193079,6/22/2018,SLP,0.011235966,0.011235955,-0.221975796,E
802,22.700001,23.5,22.299999,23.5,108600,23.179438,6/25/2018,SLP,0.044444441,0.044444444,-1.067062909,D
803,23.75,23.85,23.549999,23.75,140200,23.426027,6/26/2018,SLP,0.010638265,0.010638298,-1.528090473,D
804,23.9,23.9,20.860001,20.9,181900,20.614904,6/27/2018,SLP,-0.11999999,-0.12,0.820978657,U
805,21,22.450001,20.940001,22.25,78400,21.946489,6/28/2018,SLP,0.064593316,0.064593301,-0.316863717,E
806,22.35,22.48,21.559999,22.25,143000,21.946489,6/29/2018,SLP,0,0,1.165484016,U
807,22,22.4,21.559999,22.299999,52700,21.995806,7/2/2018,SLP,0.002247148,0.002247146,0.446428121,E
808,22.35,22.4,21.799999,22.049999,25800,21.749216,7/3/2018,SLP,-0.011210774,-0.011210763,-3.878413061,D
