"","price.open","price.high","price.low","price.close","volume","price.adjusted","ref.date","ticker","ret.adjusted.prices","ret.closing.prices"
"478",195.619995,196.059998,195.110001,195.690002,2515700,189.60791,2018-08-06,"HD",0.000255571518180675,0.000255586793373563
"479",196.350006,197.199997,195.639999,197.050003,3052500,190.925644,2018-08-07,"HD",0.00694978389878353,0.00694977252849127
"480",197.440002,198.910004,197.300003,198.020004,2176700,191.865509,2018-08-08,"HD",0.00492267555216408,0.00492261347491585
"481",199,199.740005,198.039993,198.080002,2466000,191.92363,2018-08-09,"HD",0.000302925733254078,0.000302989590890146
"482",197.339996,197.929993,195.639999,196.300003,2873000,190.198959,2018-08-10,"HD",-0.00898623582724023,-0.00898626303527605
"483",196.300003,197.589996,194,194.139999,5294400,188.106064,2018-08-13,"HD",-0.0110037142737464,-0.0110035861792627
"484",195.169998,195.979996,191.270004,193.100006,11488000,187.098419,2018-08-14,"HD",-0.00535679168748115,-0.00535692286678124
"485",191.75,194.179993,191.089996,193.990005,6049300,187.960785,2018-08-15,"HD",0.0046091570661535,0.00460900555331922
"486",194.020004,196.089996,193.720001,195.389999,5690100,189.31723,2018-08-16,"HD",0.00721663830037733,0.00721683573336684
"487",195.600006,195.979996,194.820007,195.559998,3885800,189.481949,2018-08-17,"HD",0.00087006872010531,0.000870049648754145
"488",195.839996,198.440002,195.399994,197.929993,2956700,191.778275,2018-08-20,"HD",0.0121189697072412,0.0121190173053694
"489",198.830002,200.740005,198.410004,200.229996,4124600,194.006805,2018-08-21,"HD",0.0116203464652083,0.0116202853601879
"490",200.800003,203.550003,198.649994,198.970001,5007000,192.78598,2018-08-22,"HD",-0.00629269164037838,-0.00629273847660672
"491",199.389999,201.410004,199.139999,200.160004,3595000,193.938995,2018-08-23,"HD",0.00598080316836325,0.00598081617338875
"492",200.350006,202.5,200,201.300003,3054300,195.043564,2018-08-24,"HD",0.00569544562195956,0.005695438535263
"493",202.830002,202.949997,201.190002,201.979996,2521300,195.702408,2018-08-27,"HD",0.00337793253203666,0.00337800789799281
"494",202.300003,202.419998,200.630005,201.970001,3516300,195.692734,2018-08-28,"HD",-4.9432197073318e-05,-4.94850985144346e-05
"495",201.110001,201.990005,200.710007,201.679993,2488000,196.413406,2018-08-29,"HD",0.00368267122273425,-0.00143589641315101
"496",201,201.440002,199.100006,199.259995,2825400,194.056595,2018-08-30,"HD",-0.0119992369563614,-0.0119991971637959
"497",199.380005,200.910004,199.289993,200.770004,4023300,195.527176,2018-08-31,"HD",0.00757810369701684,0.00757808410062433
"498",200.690002,205.919998,200.5,205.080002,4612800,199.72464,2018-09-04,"HD",0.0214674199559861,0.0214673403104579
"499",204.830002,206.669998,203.149994,204.149994,3667100,198.818909,2018-09-05,"HD",-0.00453489864845924,-0.00453485464662717
"500",204.589996,207.089996,203.800003,205.889999,3490400,200.513458,2018-09-06,"HD",0.00852307765153282,0.00852316948880238
"501",205.449997,207.229996,205.429993,206.229996,3672700,200.844589,2018-09-07,"HD",0.00165141533791702,0.00165135267206451
"502",208.130005,211.619995,208.130005,210.690002,5586600,205.188126,2018-09-10,"HD",0.0216263580792808,0.021626369037024
"503",213,214.660004,211.5,213.850006,5969500,208.26561,2018-09-11,"HD",0.0149983532672842,0.0149983576344548
"504",214.029999,215.429993,210.910004,211.979996,5660100,206.444427,2018-09-12,"HD",-0.00874452099893031,-0.00874449355872364
"505",211.440002,211.440002,208.699997,209.449997,4701100,203.980499,2018-09-13,"HD",-0.0119350666705088,-0.0119350837236548
"506",210.190002,210.529999,207.550003,209.070007,3622400,203.610443,2018-09-14,"HD",-0.00181417342252899,-0.00181422776530282
"507",209.080002,210.039993,208.259995,208.399994,3074700,202.957916,2018-09-17,"HD",-0.00320478159364346,-0.00320473036574787
"508",208.630005,211.729996,208.160004,211.020004,4338500,205.509506,2018-09-18,"HD",0.0125720151757962,0.0125720253139738
"509",212,212.669998,210.660004,211.679993,2579100,206.152267,2018-09-19,"HD",0.00312764607589489,0.00312761343706547
"510",211.660004,212.610001,211.009995,211.059998,4020800,205.548462,2018-09-20,"HD",-0.00292892728654781,-0.00292892583381743
"511",211.300003,212.660004,210.509995,212.389999,9749200,206.843735,2018-09-21,"HD",0.00630154556933649,0.00630153043022386
"512",211.520004,211.839996,207.960007,207.990005,4623700,202.55864,2018-09-24,"HD",-0.0207165810460733,-0.0207165780908545
"513",208.839996,209.300003,206.800003,207.460007,4443300,202.04248,2018-09-25,"HD",-0.00254820036311454,-0.00254818975556059
"514",208.580002,209.139999,207.229996,207.520004,2965800,202.100922,2018-09-26,"HD",0.000289256002005134,0.00028919790791293
"515",207.5,207.830002,205.669998,206.839996,3218800,201.43866,2018-09-27,"HD",-0.003276887574021,-0.00327683108564314
"516",206.440002,208.850006,206.350006,207.149994,3966100,201.74057,2018-09-28,"HD",0.00149876890563116,0.0014987333494243
"517",208.520004,209.789993,207.369995,207.600006,3670500,202.178833,2018-10-01,"HD",0.00217240885162573,0.00217239687682547
"518",207.490005,208.039993,204.669998,204.75,4428000,199.403229,2018-10-02,"HD",-0.0137284598927326,-0.013728352204383
"519",206.160004,206.460007,203.649994,203.740005,4162500,198.419617,2018-10-03,"HD",-0.0049327786963772,-0.00493282051282051
"520",203.649994,203.759995,198.270004,198.850006,5996200,193.657318,2018-10-04,"HD",-0.0240011500475781,-0.0240011724746939
"521",199.070007,199.699997,194.570007,196.380005,5016600,191.251831,2018-10-05,"HD",-0.0124213586392846,-0.0124214278374223
"522",196.240005,198.660004,195.059998,198.410004,3731800,193.228806,2018-10-08,"HD",0.0103370252178134,0.0103370961824754
"523",197.949997,199.179993,195.580002,195.75,4466800,190.63826,2018-10-09,"HD",-0.0134066242690544,-0.0134066022195131
"524",199.110001,199.240005,193.350006,193.699997,6157900,188.6418,2018-10-10,"HD",-0.0104725043126181,-0.0104725568326948
"525",193.710007,196.669998,188.470001,189.740005,5831400,184.785202,2018-10-11,"HD",-0.0204440267215431,-0.0204439445603088
"526",192.75,193.589996,190.160004,192.470001,5450200,187.443909,2018-10-12,"HD",0.014388094778282,0.0143880885846925
"527",192.360001,193.289993,190.699997,191.169998,3642800,186.177856,2018-10-15,"HD",-0.00675430322998649,-0.00675431492308254
"528",191.830002,194.080002,190.610001,193.580002,4057400,188.524933,2018-10-16,"HD",0.0126066388905026,0.0126066015860919
"529",189.639999,190.669998,183.979996,185.169998,8985700,180.334549,2018-10-17,"HD",-0.0434445665603286,-0.0434445909345533
"530",184.259995,185.399994,179.529999,180.440002,9262000,175.728058,2018-10-18,"HD",-0.0255441401858054,-0.0255440732898857
"531",180.339996,180.990005,178.570007,179.850006,7004300,175.153473,2018-10-19,"HD",-0.0032697396564868,-0.00326976276579727
"532",180.820007,181.399994,177.559998,178.75,4866700,174.082199,2018-10-22,"HD",-0.00611620187514061,-0.00611624110815989
"533",175.770004,179.490005,175.440002,178.529999,7004900,173.86795,2018-10-23,"HD",-0.00123073468298729,-0.00123077482517475
"534",178.580002,182.369995,176.309998,176.970001,6791700,172.348679,2018-10-24,"HD",-0.00873807392334247,-0.00873801606866087
"535",177.520004,180.5,176.830002,179.070007,5228000,174.393845,2018-10-25,"HD",0.011866444302715,0.0118664518739535
"536",176.880005,177.339996,170.910004,172.229996,9472200,167.732452,2018-10-26,"HD",-0.0381974088592404,-0.0381974129257727
"537",173.740005,175.990005,170.949997,173.199997,5918400,168.677109,2018-10-29,"HD",0.00563192744597818,0.00563200965295274
"538",173.160004,176.429993,172.639999,176.240005,5657100,171.637741,2018-10-30,"HD",0.0175520674829683,0.017552009541894
"539",177.979996,178.850006,175.589996,175.880005,6339500,171.28714,2018-10-31,"HD",-0.00204268011194586,-0.00204266902965633
"540",176.839996,180.860001,175.899994,180.460007,5225300,175.747528,2018-11-01,"HD",0.0260404137753716,0.0260404927780165
"541",182.470001,183.009995,177.389999,179.929993,4730600,175.231369,2018-11-02,"HD",-0.00293693462362665,-0.00293701639942856
"542",181.020004,182.410004,179.300003,182.190002,3885300,177.432358,2018-11-05,"HD",0.0125604736900731,0.0125604906792833
"543",181.929993,182.649994,180.050003,182.009995,3338800,177.257065,2018-11-06,"HD",-0.00098794268405078,-0.000988017992337387
"544",183.789993,187.679993,182.059998,187.229996,4673400,182.340744,2018-11-07,"HD",0.0286796974777845,0.0286797491533364
"545",187.130005,188.690002,185.720001,188,4054000,183.090652,2018-11-08,"HD",0.00411267379714109,0.00411261024649057
